week,open,close,ret_pct,regime,n_days
2021-09-09,17377.80,17369.25,-0.05,TREND UP,4
2021-09-17,17355.30,17585.15,1.32,TREND UP,5
2021-09-24,17396.90,17853.20,2.62,TREND UP,5
2021-10-01,17855.10,17532.05,-1.81,TREND UP,5
2021-10-08,17691.25,17895.20,1.15,TREND UP,5
2021-10-14,17945.95,18338.55,2.19,TREND UP,4
2021-10-22,18477.05,18114.90,-1.96,TREND UP,5
2021-10-29,18125.40,17671.65,-2.50,TREND UP,5
2021-11-04,17929.65,17916.80,-0.07,TREND DOWN,4
2021-11-12,18068.55,18102.75,0.19,CHOP,5
2021-11-18,18109.45,17764.80,-1.90,RANGE,4
2021-11-26,17416.55,17026.45,-2.24,RANGE,5
2021-12-03,17053.95,17196.70,0.84,TREND DOWN,5
2021-12-10,16912.25,17511.30,3.54,TREND DOWN,5
2021-12-17,17368.25,16985.20,-2.21,CHOP,5
2021-12-24,16614.20,17003.75,2.34,TREND DOWN,5
2021-12-31,17086.25,17354.05,1.57,TREND DOWN,5
2022-01-07,17625.70,17812.70,1.06,RANGE,5
2022-01-14,18003.30,18255.75,1.40,RANGE,5
2022-01-21,18308.10,17617.15,-3.77,RANGE,5
2022-01-28,17149.10,17101.95,-0.27,RANGE,4
2022-02-04,17339.85,17516.30,1.02,RANGE,5
2022-02-11,17213.60,17374.75,0.94,RANGE,5
2022-02-18,16842.80,17276.30,2.57,CHOP,5
2022-02-25,17206.65,16658.40,-3.19,RANGE,5
2022-03-04,16793.90,16245.35,-3.27,TREND DOWN,4
2022-03-11,15863.15,16630.45,4.84,TREND DOWN,5
2022-03-17,16871.30,17287.05,2.46,TREND DOWN,4
2022-03-25,17117.60,17153.00,0.21,RANGE,5
2022-04-01,17222.00,17670.45,2.60,RANGE,5
2022-04-08,18053.40,17784.35,-1.49,RANGE,5
2022-04-13,17674.95,17475.65,-1.13,RANGE,3
2022-04-22,17173.65,17171.95,-0.01,RANGE,5
2022-04-29,16953.95,17102.55,0.88,RANGE,5
2022-05-06,17069.10,16411.25,-3.85,RANGE,4
2022-05-13,16301.85,15782.15,-3.19,RANGE,5
2022-05-20,15842.30,16266.15,2.68,TREND DOWN,5
2022-05-27,16214.70,16352.45,0.85,CHOP,5
2022-06-03,16661.40,16584.30,-0.46,RANGE,5
2022-06-10,16569.55,16201.80,-2.22,RANGE,5
2022-06-17,15774.40,15293.50,-3.05,RANGE,5
2022-06-24,15350.15,15699.25,2.27,RANGE,5
2022-07-01,15832.05,15752.05,-0.51,RANGE,5
2022-07-08,15835.35,16220.60,2.43,RANGE,5
2022-07-15,16216.00,16049.20,-1.03,RANGE,5
2022-07-22,16278.50,16719.45,2.71,RANGE,5
2022-07-29,16631.00,17158.25,3.17,RANGE,5
2022-08-05,17340.05,17397.50,0.33,TREND UP,5
2022-08-12,17525.10,17698.15,0.99,TREND UP,4
2022-08-19,17825.25,17758.45,-0.37,TREND UP,4
2022-08-26,17490.70,17558.90,0.39,TREND UP,5
2022-09-02,17312.90,17539.45,1.31,TREND UP,4
2022-09-09,17665.80,17833.35,0.95,TREND UP,5
2022-09-16,17936.35,17530.85,-2.26,TREND UP,5
2022-09-23,17622.25,17327.35,-1.67,CHOP,5
2022-09-30,17016.30,17094.35,0.46,RANGE,5
2022-10-07,16887.35,17314.65,2.53,RANGE,4
2022-10-14,17241.00,17185.70,-0.32,RANGE,5
2022-10-21,17311.80,17576.30,1.53,RANGE,5
2022-10-28,17730.75,17786.80,0.32,RANGE,4
2022-11-04,18012.20,18117.15,0.58,RANGE,5
2022-11-11,18202.80,18349.70,0.81,RANGE,4
2022-11-18,18329.15,18307.65,-0.12,RANGE,5
2022-11-25,18159.95,18512.75,1.94,CHOP,5
2022-12-02,18562.75,18696.10,0.72,RANGE,5
2022-12-09,18701.05,18496.60,-1.09,RANGE,5
2022-12-16,18497.15,18269.00,-1.23,RANGE,5
2022-12-23,18420.45,17806.80,-3.33,RANGE,5
2022-12-30,18014.60,18105.30,0.50,RANGE,5
2023-01-06,18197.45,17859.45,-1.86,RANGE,5
2023-01-13,18101.20,17956.60,-0.80,TREND DOWN,5
2023-01-20,17894.85,18027.65,0.74,TREND DOWN,5
2023-01-27,18118.55,17604.35,-2.84,TREND DOWN,4
2023-02-03,17648.95,17854.05,1.16,TREND DOWN,5
2023-02-10,17764.60,17856.50,0.52,RANGE,5
2023-02-17,17770.90,17944.20,0.98,RANGE,5
2023-02-24,17844.60,17465.80,-2.12,RANGE,5
2023-03-03,17392.70,17594.35,1.16,RANGE,5
2023-03-10,17711.45,17412.90,-1.69,RANGE,4
2023-03-17,17154.30,17100.05,-0.32,RANGE,5
2023-03-24,16988.40,16945.05,-0.26,TREND DOWN,5
2023-03-31,16985.70,17359.75,2.20,TREND DOWN,4
2023-04-06,17398.05,17599.15,1.16,TREND DOWN,3
2023-04-13,17624.05,17828.00,1.16,RANGE,4
2023-04-21,17706.85,17624.05,-0.47,RANGE,5
2023-04-28,17743.40,18065.00,1.81,RANGE,5
2023-05-05,18147.65,18069.00,-0.43,RANGE,4
2023-05-12,18264.40,18314.80,0.28,TREND UP,5
2023-05-19,18398.85,18203.40,-1.06,TREND UP,5
2023-05-26,18314.40,18499.35,1.01,TREND UP,5
2023-06-02,18598.65,18534.10,-0.35,TREND UP,5
2023-06-09,18593.85,18563.40,-0.16,TREND UP,5
2023-06-16,18601.50,18826.00,1.21,TREND UP,5
2023-06-23,18755.45,18665.50,-0.48,TREND UP,5
2023-06-30,18691.20,19189.05,2.66,TREND UP,4
2023-07-07,19322.55,19331.80,0.05,TREND UP,5
2023-07-14,19355.90,19564.50,1.08,TREND UP,5
2023-07-21,19711.45,19745.00,0.17,TREND UP,5
