symbol,signal_date,tier,entry_date,entry_px,exit_px,exit_date,exit,hold_days,pnl_pct,open,stage_at_signal,rsi_at_signal
RELIANCE,2013-11-05,T1,2013-11-06,208.01,200.23,2013-11-08,stage,3,-3.74,False,ALL-ALIGN BULL,61.7
RELIANCE,2014-03-07,T1,2014-03-10,197.75,212.75,2014-03-31,time,15,7.59,False,ALL-ALIGN BULL,67.5
RELIANCE,2014-05-05,T1,2014-05-06,216.67,251.83,2014-05-26,time,15,16.23,False,ALL-ALIGN BULL,55.5
RELIANCE,2014-06-17,T1,2014-06-18,248.7,238.21,2014-06-19,stage,2,-4.22,False,EARLY-UP,54.9
RELIANCE,2015-01-20,T1,2015-01-21,206.87,202.73,2015-01-23,stage,3,-2.0,False,EARLY-UP,56.0
RELIANCE,2015-04-16,T1,2015-04-17,213.74,202.44,2015-04-20,stop,2,-5.29,False,EARLY-UP,68.6
RELIANCE,2015-06-25,T1,2015-06-26,228.56,234.0,2015-07-16,time,15,2.38,False,ALL-ALIGN BULL,71.9
RELIANCE,2015-09-18,T1,2015-09-21,201.15,193.82,2015-09-22,stage,2,-3.64,False,EARLY-UP,52.5
RELIANCE,2015-10-20,T1,2015-10-21,218.41,210.93,2015-11-10,stage,14,-3.42,False,ALL-ALIGN BULL,68.0
RELIANCE,2015-11-06,T2,2015-11-09,213.38,210.93,2015-11-10,stage,2,-1.15,False,ALL-ALIGN BULL,58.9
RELIANCE,2016-01-13,T1,2016-01-14,243.18,229.62,2016-01-20,stage,5,-5.58,False,ALL-ALIGN BULL,69.1
RELIANCE,2016-01-19,T2,2016-01-20,236.56,229.62,2016-01-20,stage,1,-2.93,False,ALL-ALIGN BULL,55.8
RELIANCE,2016-03-10,T1,2016-03-11,231.99,236.6,2016-04-04,time,15,1.99,False,ALL-ALIGN BULL,56.5
RELIANCE,2016-03-29,T2,2016-03-30,238.34,236.3,2016-04-06,stage,6,-0.86,False,ALL-ALIGN BULL,58.7
RELIANCE,2016-04-13,T1,2016-04-18,243.62,237.49,2016-04-22,stage,4,-2.52,False,ALL-ALIGN BULL,66.1
